ORIG_FID,VisSpp1,VisCov1,VisSpp2,VisCov2,VisSpp3,VisCov3,VisSpp4,VisCov4,VisSpp5,VisCov5,CovDry,CovWat,CovEpiAlg,PatLen,PatWid,Location,PositionIn,Preassigned,MatDensity,DepToSAV,Secchi,ScAtBot,Date,Time,Latitude,Longitude,Comments
77,Watermilfoil,0.7,,,,,,,,,,0.3,,L (10-15m),L (10-15m),center,,No,,0,5,No,20070614,02:19:14pm,38.09106394,-121.4999265,
78,Watermilfoil,0.7,,,,,,,,,,0.3,,L (10-15m),L (10-15m),center,,No,,0,4,Yes,20070614,02:30:37pm,38.08837473,-121.5027482,
79,Watermilfoil,0.3,Coontail,0.1,,,,,,,,0.3,,XL (>15m),L (10-15m),center,,No,,0,5,Yes,20070614,02:37:40pm,38.08404149,-121.5038768,
80,Algae,0.7,,,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,4,No,20070615,09:22:41am,38.08572139,-121.4751415,
81,Watermilfoil,0.5,Egeria,0.1,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,2,Yes,20070615,10:12:00am,38.09343028,-121.4910158,
82,Egeria,0.7,Algae,0.3,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,6,No,20070615,10:31:04am,38.09349226,-121.4866509,
83,Egeria,0.7,Algae,0.7,Cabomba,0.1,,,,,,,,XL (>15m),XL (>15m),center,,No,,,,No,20070615,10:28:55am,38.07337278,-121.4534533,
84,Egeria,0.5,Mixed,0.3,Algae,0.3,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,3,Yes,20070615,09:05:51am,38.07072775,-121.4614825,
85,Algae,0.7,,,,,,,,,,0.1,,L (10-15m),M (5-10m),side,,No,,0.5,5,No,20070615,09:14:36am,38.07397254,-121.4634213,
86,Algae,0.5,Algae,0.3,,,,,,,,,,L (10-15m),M (5-10m),side,,No,,0,5,No,20070615,09:18:48am,38.0752174,-121.4665876,
87,Algae,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),side,,No,,0.25,1.75,Yes,20070615,09:27:46am,38.07628174,-121.467434,
88,Algae,0.7,Egeria,0.7,Cabomba,0.1,,,,,,,,XL (>15m),XL (>15m),center,,No,,,,No,20070615,10:24:48am,38.07383817,-121.4541244,
89,Egeria,0.5,Coontail,0.5,Algae,0.3,,,,,,,,L (10-15m),S (3-5m),center,,No,,0,2.5,No,20070613,03:08:34pm,38.07094891,-121.4177277,"half & half-eg on levee side, coon on channel side"
90,Coontail,0.5,Egeria,0.1,,,,,,,,0.1,,M (5-10m),S (3-5m),center,,No,,0.25,1.75,No,20070613,03:14:12pm,38.07240769,-121.4180759,next to very sparse tule patch
91,Algae,0.7,Egeria,0.7,Algae,0.5,,,,,,,,XL (>15m),L (10-15m),center,,No,,0.25,3,No,20070613,03:20:22pm,38.07876899,-121.4160041,
92,Coontail,0.3,Watermilfoil,0.5,,,,,,,,0.3,,L (10-15m),L (10-15m),center,,No,,0,5,No,20070614,03:05:05pm,38.06928384,-121.5020627,
93,Egeria,0.7,Algae,0.3,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,4.5,No,20070615,08:40:48am,38.06255341,-121.4590604,
94,Algae,0.7,Mixed,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,2,3.75,No,20070615,08:29:25am,38.05675242,-121.4594192,no photo
95,Algae,0.5,Egeria,0.1,Cabomba,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,0.5,5,No,20070615,08:58:11am,38.06630566,-121.4590016,
96,Watermilfoil,0.5,Egeria,0.1,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,3,No,20070614,03:15:08pm,38.06625568,-121.5015243,
97,Algae,0.9,,,,,,,,,,,,XL (>15m),XL (>15m),side,,No,,0,2,No,20070614,03:24:45pm,38.06283285,-121.5000801,
98,Watermilfoil,0.7,Egeria,0.1,Coontail,0.1,,,,,,,,L (10-15m),L (10-15m),center,,No,,0,4,No,20070614,03:34:48pm,38.05921578,-121.5011258,
99,Egeria,0.9,Algae,0.3,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,6,No,20070615,08:50:41am,38.06266368,-121.4597641,
100,Egeria,0.5,Algae,0.5,,,,,,,,,,XL (>15m),S (3-5m),side,,No,,2,2.5,No,20070613,08:26:40am,38.04273478,-121.4122247,
101,Egeria,0.3,,,,,,,,,,0.5,,S (3-5m),S (3-5m),center,,Yes,,1.5,1.5,No,20070613,09:34:30am,38.04554301,-121.3817465,
102,Egeria,0.9,,,,,,,,,,0.1,,L (10-15m),M (5-10m),center,,No,,0,2.5,No,20070613,11:40:54am,38.04329472,-121.365113,
103,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,2.5,Yes,20070613,11:44:05am,38.04325044,-121.3632037,
104,Egeria,0.9,,,,,,,,,,0.1,,XL (>15m),L (10-15m),center,,Yes,,0.25,2.5,No,20070613,11:47:26am,38.04319879,-121.3609703,
105,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),center,,Yes,,0.5,2.5,No,20070613,11:50:37am,38.04310153,-121.3592098,
106,Egeria,0.7,,,,,,,,,,0.1,,XL (>15m),L (10-15m),center,,Yes,,0.5,2,No,20070613,11:55:19am,38.0431669,-121.3572546,
107,Egeria,0.7,,,,,,,,,,0.3,,XL (>15m),L (10-15m),center,,Yes,,0.25,2,No,20070613,12:00:10pm,38.04309676,-121.3549771,
108,Egeria,0.7,,,,,,,,,,0.1,,XL (>15m),L (10-15m),center,,Yes,,0,2,Yes,20070613,12:04:31pm,38.04305738,-121.3533417,
109,Egeria,0.5,,,,,,,,,,0.5,,XL (>15m),L (10-15m),center,,No,,0,1,Yes,20070613,12:08:26pm,38.04297259,-121.3512273,
110,Egeria,0.9,Algae,0.1,Cabomba,0.01,,,,,,,,XL (>15m),M (5-10m),side,,No,,0,4,No,20070612,01:35:00pm,38.04353934,-121.4765725,<5% cab
111,Egeria,0.5,Cabomba,0.1,,,,,,,,0.1,,XL (>15m),M (5-10m),side,,No,,0,5,No,20070612,01:39:47pm,38.04433754,-121.475459,
112,Egeria,0.7,Cabomba,0.1,,,,,,,,0.1,,M (5-10m),M (5-10m),center,,No,,0,4,Yes,20070612,01:46:07pm,38.04601492,-121.4748681,
113,Egeria,0.5,Algae,0.1,Algae,0.1,,,,,,,,L (10-15m),S (3-5m),center,,No,,0,4,No,20070612,01:51:55pm,38.04661259,-121.4735497,
114,Egeria,0.5,Algae,0.1,Algae,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,1,4,No,20070612,02:06:12pm,38.04981413,-121.4675102,
115,Egeria,0.7,,0.1,,,,,,,,,,M (5-10m),M (5-10m),center,,No,,1,5,No,20070612,02:13:55pm,38.05273614,-121.4647647,
116,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,1,5,No,20070612,02:16:48pm,38.0523329,-121.4643274,
117,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,,No,20070612,03:13:31pm,38.04671477,-121.4492976,
118,Egeria,0.7,Algae,0.1,,,,,,,,0.1,,XL (>15m),L (10-15m),range finder,,No,,,,No,20070612,03:16:20pm,38.04766476,-121.4475768,
119,Algae,0.7,Mixed,0.1,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,1,2.25,No,20070615,08:21:11am,38.05410298,-121.4596077,no photos
120,Algae,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,1.5,2.5,No,20070613,08:37:14am,38.0427762,-121.4097242,
122,Watermilfoil,0.3,,,,,,,,,,,,S (3-5m),S (3-5m),side,,Yes,,0.5,1.5,No,20070613,09:06:53am,38.04429382,-121.3853387,
124,Coontail,0.5,Algae,0.5,,,,,,,,,,M (5-10m),M (5-10m),center,,Yes,,1,2,No,20070613,09:23:12am,38.04528145,-121.3832364,
125,Coontail,0.3,Watermilfoil,0.3,Algae,0.3,,,,,,,,M (5-10m),M (5-10m),center,,Yes,,0.5,1.25,No,20070613,09:26:16am,38.04527254,-121.3830605,
126,Egeria,0.1,Coontail,0.1,Algae,0.1,,,,,,0.1,,S (3-5m),S (3-5m),center,,Yes,,2,2,No,20070613,09:30:25am,38.04542507,-121.3817785,very turbid
127,Algae,0.1,Egeria,0.1,Curlyleaf,0.1,,,,,,0.1,,S (3-5m),S (3-5m),center,,Yes,,1.75,0.75,No,20070613,09:38:19am,38.04548006,-121.380965,
129,Watermilfoil,0.5,,,,,,,,,,0.3,,M (5-10m),M (5-10m),center,,Yes,,0.5,1.5,No,20070613,09:46:25am,38.04553191,-121.380101,
130,Egeria,0.1,,,,,,,,,,0.7,,M (5-10m),M (5-10m),center,,Yes,,0.25,1.25,Yes,20070613,09:52:52am,38.04581564,-121.3772905,
131,Watermilfoil,0.3,,,,,,,,,,0.5,,S (3-5m),S (3-5m),center,,Yes,,1,1,No,20070613,10:17:43am,38.04638888,-121.3744538,
132,Watermilfoil,0.5,Egeria,0.1,,,,,,,,0.3,,L (10-15m),S (3-5m),center,,Yes,,0,1,Yes,20070613,11:08:11am,38.04439561,-121.3724073,
133,Watermilfoil,0.5,Coontail,0.3,,,,,,,,0.3,,S (3-5m),S (3-5m),center,,Yes,,0.25,0.75,No,20070613,11:15:31am,38.04354491,-121.3721574,
134,Egeria,0.3,Mixed,0.3,,,,,,,,0.1,,S (3-5m),S (3-5m),center,,Yes,,0,2,Yes,20070613,11:25:30am,38.04325787,-121.3702455,
135,Egeria,0.3,Watermilfoil,0.1,,,,,,,,0.1,,S (3-5m),S (3-5m),center,,Yes,,0.25,2.5,No,20070613,11:28:55am,38.04342369,-121.3692163,
136,Egeria,0.5,,,,,,,,,,0.3,,M (5-10m),S (3-5m),center,,Yes,,0.25,3.5,No,20070613,11:36:29am,38.04338245,-121.3672656,
137,Egeria,0.1,Watermilfoil,0.1,,,,,,,,0.5,,S (3-5m),S (3-5m),center,,Yes,,0,2.5,No,20070613,12:17:12pm,38.0434551,-121.3735494,
138,Egeria,0.7,Algae,0.5,Curlyleaf,0.1,Algae,0.7,,,,,,XL (>15m),S (3-5m),center,,No,,0,2.75,No,20070613,02:47:50pm,38.04569501,-121.4197906,
139,Algae,0.7,Cabomba,0.1,,,,,,,,,,S (3-5m),S (3-5m),center,,No,,1,4,No,20070612,02:30:10pm,38.05398854,-121.4599495,
141,Egeria,0.5,Algae,0.1,Cabomba,0.1,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,3,Yes,20070612,01:45:40pm,38.04714816,-121.4703743,
142,Egeria,0.5,Algae,0.1,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,6,Yes,20070612,01:52:28pm,38.04671955,-121.468554,
143,Egeria,0.5,Algae,0.5,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,3,No,20070612,02:10:38pm,38.05214252,-121.4612989,
144,Egeria,0.7,Algae,0.5,,,,,,,,,,L (10-15m),L (10-15m),center,,No,,0,5,Yes,20070612,02:22:27pm,38.04561838,-121.4503952,huge plot
145,Egeria,0.7,Algae,0.7,,,,,,,,0.1,,L (10-15m),M (5-10m),side,,No,,0,4,Yes,20070613,08:26:20am,38.04243864,-121.4061812,
146,Egeria,0.9,Algae,0.1,,,,,,,,,,L (10-15m),M (5-10m),center,,Yes,,,5,Yes,20070612,02:54:46pm,38.04290208,-121.4327118,all covered by algae under h2o
147,Algae,0.9,Egeria,0.7,Coontail,0.3,,,,,,,,L (10-15m),M (5-10m),side,,No,,,4,Yes,20070612,03:04:27pm,38.04190898,-121.4288526,"eger, coontail under"
148,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,,4,Yes,20070612,03:44:44pm,38.04227343,-121.4253476,
149,Algae,0.7,Egeria,0.3,,,,,,,,,,M (5-10m),M (5-10m),center,,No,,,4,No,20070612,04:02:54pm,38.04260091,-121.4177171,eger under
150,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,6.5,No,20070614,12:07:23pm,38.03137023,-121.4714738,
151,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,4,No,20070614,12:11:48pm,38.03282532,-121.4709995,
152,Egeria,0.7,Mixed,0.1,,,,,,,,,,XL (>15m),S (3-5m),side,,No,,0,4,No,20070614,12:18:09pm,38.03461491,-121.4702322,
153,Egeria,0.7,Coontail,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,99,No,20070614,12:25:48pm,38.03269731,-121.47229,
154,Egeria,0.7,Coontail,0.1,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,0,99,No,20070614,12:29:55pm,38.03298354,-121.4724461,
155,Egeria,0.7,Watermilfoil,0.1,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,0,99,No,20070614,12:31:23pm,38.03382199,-121.4730282,"very very shallow, very clear"
156,Egeria,0.5,Watermilfoil,0.1,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,0,1,Yes,20070614,12:34:14pm,38.03442613,-121.4740899,"very very shallow, very clear"
157,Egeria,0.9,Algae,0.1,,,,,,,,,,M (5-10m),M (5-10m),center,,No,,0,4.5,No,20070614,12:38:17pm,38.0357688,-121.478137,"very very shallow, very clear"
158,Egeria,0.9,Algae,0.5,Cabomba,0.01,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,5,No,20070614,12:42:36pm,38.03691224,-121.4794621,<5% cab
159,Watermilfoil,0.5,Cabomba,0.1,,,,,,,,0.1,,XL (>15m),L (10-15m),side,,No,,0,1.5,Yes,20070614,11:59:53am,38.0307392,-121.4727445,
160,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,5,No,20070612,10:55:14am,38.03335757,-121.4982036,
161,Egeria,0.7,Mixed,0.1,,,,,,,,,,L (10-15m),S (3-5m),side,,Yes,,1,1,Yes,20070612,11:11:08am,38.03853457,-121.4994114,
162,Egeria,0.7,,,,,,,,,,0.1,,L (10-15m),M (5-10m),center,,Yes,,0,1,No,20070612,11:18:32am,38.03965673,-121.4991082,
163,Egeria,0.9,Algae,0.1,,,,,,,,,,XL (>15m),S (3-5m),side,,No,,0,4,No,20070612,01:24:49pm,38.04211609,-121.4782932,
164,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,Yes,,1,6,No,20070612,03:43:22pm,38.03997749,-121.4386081,
165,Egeria,0.9,,,,,,,,,,,,L (10-15m),L (10-15m),center,,Yes,,1,6,No,20070612,03:45:30pm,38.04039901,-121.4388413,
