ORIG_FID,VisSpp1,VisCov1,VisSpp2,VisCov2,VisSpp3,VisCov3,VisSpp4,VisCov4,VisSpp5,VisCov5,CovDry,CovWat,CovEpiAlg,PatLen,PatWid,Location,PositionIn,Preassigned,MatDensity,DepToSAV,Secchi,ScAtBot,Date,Time,Latitude,Longitude,Comments,RkTthCov,RkSpp1,RkCov1,RkSpp2,RkCov2,RkSpp3,RkCov3,RkSpp4,RkCov4,RkSpp5,RkCov5
501,Algae,0.9,Egeria,0.9,Watermilfoil,0.1,Cabomba,0.1,,,,,,L (10-15m),L (10-15m),center,,No,,1.5,5,No,10/31/2007,11:05:09am,38.07967182,-121.4464446,no rake photo,,,,,,,,,,,
502,Algae,0.9,Egeria,0.9,Watermilfoil,0.1,,,,,,,,L (10-15m),L (10-15m),center,,No,,0.5,4,No,10/31/2007,11:16:31am,38.07713702,-121.4495278,no rake photo,,,,,,,,,,,
509,Algae,0.9,Egeria,0.3,Watermilfoil,0.1,,,,,,,,M (5-10m),M (5-10m),center,,No,,0.25,6.25,No,10/31/2007,02:57:49pm,38.09158983,-121.4827037,no rake photo,,,,,,,,,,,
325,Algae,0.9,Egeria,0.9,,,,,,,,,,XL (>15m),M (5-10m),side,,No,,,4,No,10/31/2007,08:13:09am,38.07263951,-121.3989895,80eg 20sawalg,,Egeria,0.8,Algae,0.2,,,,,,
468,Algae,0.5,Egeria,0.5,,,,,,,,,,M (5-10m),M (5-10m),side,,No,,1.5,3,Yes,10/29/2007,02:19:11pm,38.08491278,-121.5546935,100 eg,,Egeria,1,,,,,,,,
477,Algae,0.5,Egeria,0.5,,,,,,,,,,S (3-5m),S (3-5m),center,,Yes,,2,4,Yes,10/30/2007,08:29:05am,38.04269724,-121.4352033,100 eg,,Egeria,1,,,,,,,,
479,Algae,0.5,Egeria,0.5,,,,,,,,,,M (5-10m),M (5-10m),center,,Yes,,2,4.5,No,10/30/2007,09:07:58am,38.04027563,-121.4387167,100 eg,,Egeria,1,,,,,,,,
483,Algae,0.5,Egeria,0.5,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,1.5,5.5,No,10/30/2007,09:46:11am,38.04448453,-121.4480497,100 eg,,Egeria,1,,,,,,,,
486,Algae,0.7,Egeria,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,1.5,7,No,10/30/2007,10:52:08am,38.05175148,-121.464254,80 alg 20 eg,,Algae,0.8,Egeria,0.2,,,,,,
504,Algae,0.9,Egeria,0.1,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,0.5,4,No,10/31/2007,11:44:39am,38.07264554,-121.4538245,60alg 40eg,,Algae,0.6,Egeria,0.4,,,,,,
507,Algae,0.9,Egeria,0.1,,,,,,,,,,L (10-15m),S (3-5m),side,,No,,0.5,9,Yes,10/31/2007,02:34:15pm,38.09290866,-121.4907806,no rake photo,,,,,,,,,,,
508,Algae,0.9,Egeria,0.1,,,,,,,,,,XL (>15m),M (5-10m),side,,No,,2,4,No,10/31/2007,02:51:31pm,38.09361308,-121.4862245,no rake photo,,,,,,,,,,,
632,Algae,0.7,Egeria,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0.5,,No,10/30/2007,02:53:41pm,38.03418355,-121.4724874,100 eg,,Egeria,1,,,,,,,,
16,Algae,0.7,,,,,,,,,,0.1,,S (3-5m),S (3-5m),center,,Yes,,1.75,1.75,Yes,11/1/2007,10:25:10am,38.00082219,-121.5781862,mud100,,,,,,,,,,,
126,Algae,0.9,,,,,,,,,,,,S (3-5m),S (3-5m),center,,Yes,,1.5,1.5,Yes,11/1/2007,10:39:40am,38.00031522,-121.5785826,no rake photo,,,,,,,,,,,
318,Algae,0.7,,,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,,,No,11/1/2007,02:21:58pm,38.00886727,-121.3880474,no rake photo,,,,,,,,,,,
322,Algae,0.9,,,,,,,,,,,,L (10-15m),M (5-10m),range finder,,No,,,,No,10/30/2007,02:59:22pm,38.03447738,-121.4747222,no rake photo,,,,,,,,,,,
324,Algae,0.7,,,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,,,No,10/30/2007,03:25:36pm,38.03350262,-121.4867136,no rake photo,,,,,,,,,,,
326,Algae,0.9,,,,,,,,,,,,M (5-10m),M (5-10m),side,,No,,,5,Yes,10/31/2007,11:14:20am,38.07692129,-121.4491362,no rake photo,,,,,,,,,,,
334,Cabomba,0.9,Algae,0.3,,,,,,,,,,S (3-5m),S (3-5m),center,,No,,0.25,3,No,11/1/2007,02:08:57pm,38.00607048,-121.3922746,no rake photo,,,,,,,,,,,
452,Cabomba,0.3,Egeria,0.3,Watermilfoil,0.3,,,,,,,,M (5-10m),M (5-10m),center,,No,,1,2.5,Yes,10/29/2007,10:49:13am,38.0101727,-121.4515667,33 cab 33 eg 33 mil,,Cabomba,0.33,Egeria,0.33,Watermilfoil,0.33,,,,
335,Cabomba,0.9,Egeria,0.1,,,,,,,,,,M (5-10m),S (3-5m),center,,No,,0,1.5,No,11/1/2007,02:18:42pm,38.00911568,-121.3896238,"sediment on plants, no rake photo",,,,,,,,,,,
467,Cabomba,0.9,Egeria,0.1,,,,,,,,,,S (3-5m),S (3-5m),center,,No,,2,2.5,Yes,10/29/2007,02:12:41pm,38.08600664,-121.5444871,100 eg,,Egeria,1,,,,,,,,
239,Cabomba,0.3,Watermilfoil,0.5,Egeria,0.5,Coontail,0.1,,,,,,XL (>15m),L (10-15m),range finder,,No,,1,8.75,No,11/1/2007,02:17:28pm,37.99654547,-121.5065826,MIL40CAB30COO10EGD20,,Watermilfoil,0.4,Cabomba,0.3,Coontail,0.1,Egeria,0.2,,
430,Cabomba,0.7,Watermilfoil,0.3,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,3,6.5,Yes,11/1/2007,02:11:02pm,38.10534804,-121.5700946,cab60 mil30 alg10,,Cabomba,0.6,Watermilfoil,0.3,Algae,0.1,,,,
330,Cabomba,0.9,,,,,,,,,,,,M (5-10m),S (3-5m),side,,No,,0,3.75,No,11/1/2007,10:19:56am,38.06107476,-121.5379966,"9 ft bottom, no rake photo",,,,,,,,,,,
331,Cabomba,0.9,,,,,,,,,,,,S (3-5m),S (3-5m),center,,No,,0,1.5,No,11/1/2007,10:23:34am,38.06136896,-121.5377181,no rake photo,,,,,,,,,,,
400,Cabomba,0.9,,,,,,,,,,,,S (3-5m),S (3-5m),,,No,,7,7,No,10/31/2007,02:13:43pm,38.08338361,-121.4709626,CAB10,,Cabomba,1,,,,,,,,
431,Cabomba,0.7,,,,,,,,,,0.1,,L (10-15m),S (3-5m),side,,No,,3,12.75,No,11/1/2007,02:27:51pm,38.11371455,-121.5857249,cab100,,Cabomba,1,,,,,,,,
439,Cabomba,0.7,,,,,,,,,,0.5,,M (5-10m),M (5-10m),center,,No,,1,2,No,10/29/2007,08:47:37am,37.99905309,-121.4042768,100 cab,,Cabomba,1,,,,,,,,
156,Coontail,0.5,Algae,0.3,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,0,7,No,10/29/2007,02:57:00pm,38.03363731,-121.6723186,coo100,,Coontail,1,,,,,,,,
492,Coontail,0.7,Cabomba,0.1,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,2,,No,10/30/2007,01:27:47pm,38.05077096,-121.5013759,75 coon 15 cab 10 coon,,Coontail,0.85,Cabomba,0.15,,,,,,
138,Coontail,0.1,Curlyleaf,0.1,Elodea,0.1,,,,,,,,M (5-10m),M (5-10m),center,,Yes,,0.5,1,Yes,11/1/2007,08:35:46am,38.00109097,-121.5783342,elodea,,Curlyleaf,0.5,Elodea,0.5,,,,,,
595,Coontail,0.7,Curlyleaf,0.3,,,,,,,,0.1,,M (5-10m),S (3-5m),center,,No,,1.5,4.5,No,10/29/2007,10:43:31am,38.00938296,-121.4480669,50 coon 50 curly,,Coontail,0.5,Curlyleaf,0.5,,,,,,
129,Coontail,0.3,Egeria,0.3,,,,,,,,0.1,,M (5-10m),M (5-10m),center,,Yes,,4,5,Yes,10/29/2007,11:27:48am,38.01015763,-121.670903,coo60 egd40,,Coontail,0.6,Egeria,0.4,,,,,,
137,Coontail,0.9,Egeria,0.1,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,2,8.5,No,10/29/2007,02:14:08pm,38.02585447,-121.6627893,coo100,,Coontail,1,,,,,,,,
139,Coontail,0.3,Egeria,0.1,,,,,,,,0.5,,S (3-5m),S (3-5m),center,,No,,0,3.75,No,11/1/2007,10:05:41am,37.99887086,-121.5744505,coo90 egd10,,Coontail,0.9,Egeria,0.1,,,,,,
152,Coontail,0.9,Egeria,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,2.75,Yes,10/29/2007,02:24:45pm,38.02791071,-121.6642355,egd80 coo20,,Egeria,0.8,Coontail,0.2,,,,,,
153,Coontail,0.9,Egeria,0.1,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,2,5,Yes,10/29/2007,02:29:15pm,38.02795301,-121.6660442,coo90 egd10,,Coontail,0.9,Egeria,0.1,,,,,,
154,Coontail,0.9,Egeria,0.1,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,1.5,4,Yes,10/29/2007,02:40:44pm,38.02976929,-121.6684788,coo70 egd30,,Coontail,0.7,Egeria,0.3,,,,,,
155,Coontail,0.9,Egeria,0.1,,,,,,,,,,XL (>15m),S (3-5m),side,,No,,1,5.25,Yes,10/29/2007,02:44:52pm,38.03042951,-121.670715,coo95 egd5,,Coontail,0.95,Egeria,0.05,,,,,,
435,Coontail,0.9,Watermilfoil,0.1,Algae,0.1,,,,,,,,XL (>15m),XL (>15m),center,,No,,2,3,Yes,11/1/2007,03:15:14pm,38.10967648,-121.5757443,coo70 mil20 alg10,,Coontail,0.7,Watermilfoil,0.2,Algae,0.1,,,,
142,Coontail,0.7,,,,,,,,,,0.1,,S (3-5m),S (3-5m),side,,No,,0.5,4.5,Yes,11/1/2007,12:54:36pm,38.00759132,-121.5626691,coo100,,Coontail,1,,,,,,,,
151,Coontail,0.9,,,,,,,,,,,,M (5-10m),S (3-5m),center,,No,,1,5.75,Yes,10/29/2007,02:20:20pm,38.02642755,-121.6635031,coo100,,Coontail,1,,,,,,,,
229,Coontail,0.7,,,,,,,,,,0.3,,S (3-5m),S (3-5m),side,,Yes,,0,1.5,Yes,11/1/2007,10:00:06am,38.04780385,-121.5256857,COO100,,Coontail,1,,,,,,,,
387,Coontail,0.9,,,,,,,,,,,,L (10-15m),S (3-5m),,,No,,10,10,No,10/31/2007,01:06:22pm,38.07004799,-121.461519,COO100,,Coontail,1,,,,,,,,
470,Curlyleaf,0.7,Cabomba,0.1,Egeria,0.1,,,,,,,,M (5-10m),S (3-5m),center,,No,,2.5,3,Yes,10/29/2007,02:27:17pm,38.08463221,-121.5568488,95 cuurl 3 cab 2 eg,,Curlyleaf,0.95,Cabomba,0.03,Egeria,0.02,,,,
266,Curlyleaf,0.7,Egeria,0.3,Elodea,0.1,,,,,,,,M (5-10m),S (3-5m),range finder,,No,,1,1.75,Yes,10/29/2007,10:56:14am,38.01656014,-121.7353811,CPW95ELO5,,Curlyleaf,0.95,Elodea,0.05,,,,,,
128,Curlyleaf,0.9,Egeria,0.1,,,,,,,,,,S (3-5m),S (3-5m),center,,Yes,,1.5,3,Yes,11/1/2007,12:23:42pm,38.00293517,-121.5777013,cpw70 egd30,,Curlyleaf,0.7,Egeria,0.3,,,,,,
415,Curlyleaf,0.7,Egeria,0.1,,,,,,,,,,M (5-10m),M (5-10m),center,,Yes,,1,4.5,Yes,11/1/2007,09:22:02am,38.11356358,-121.6174684,egd55 alg40 cpw5,,Egeria,0.55,Algae,0.4,Curlyleaf,0.05,,,,
416,Curlyleaf,0.9,Egeria,0.1,,,,,,,,,,M (5-10m),M (5-10m),range finder,,Yes,,1,5,Yes,11/1/2007,09:26:34am,38.11470643,-121.6189551,cpw10 egd50 alg40,,Egeria,0.5,Algae,0.4,Curlyleaf,0.1,,,,
419,Curlyleaf,0.7,Egeria,0.1,,,,,,,,,,S (3-5m),S (3-5m),side,,No,,0.5,4.75,Yes,11/1/2007,11:42:15am,38.10563138,-121.5995261,cpw60 alg40,,Curlyleaf,0.6,Algae,0.4,,,,,,
436,Curlyleaf,0.9,Egeria,0.1,,,,,,,,,,M (5-10m),S (3-5m),center,,No,,1,2,Yes,11/1/2007,04:00:26pm,38.07160945,-121.5686642,cpw70 egd30,,Curlyleaf,0.7,Egeria,0.3,,,,,,
264,Curlyleaf,0.9,Elodea,0.1,Watermilfoil,0.1,,,,,,,,L (10-15m),M (5-10m),center,,No,,0.25,2,Yes,10/29/2007,10:22:13am,38.01852353,-121.7344574,ELO50CPW25MIL25,,Elodea,0.5,Curlyleaf,0.25,Watermilfoil,0.25,,,,
262,Curlyleaf,0.7,Elodea,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0.5,3,Yes,10/29/2007,10:04:28am,38.01562165,-121.7334881,CPW80ELO20,,Curlyleaf,0.8,Elodea,0.2,,,,,,
413,Curlyleaf,0.7,Watermilfoil,0.1,Coontail,0.1,Egeria,0.1,Algae,0.3,,,,M (5-10m),M (5-10m),center,,No,,0.5,4.75,Yes,11/1/2007,09:07:00am,38.11177352,-121.6153765,EGD5COO35ALG30CPW5MIL25,,Egeria,0.05,Coontail,0.35,Algae,0.3,Curlyleaf,0.05,Watermilfoil,0.25
329,Curlyleaf,0.7,Watermilfoil,0.1,,,,,,,,0.1,,S (3-5m),S (3-5m),center,,No,,1.5,5,Yes,11/1/2007,10:06:34am,38.05849442,-121.5377171,mil100,,Watermilfoil,1,,,,,,,,
336,Curlyleaf,0.9,Watermilfoil,0.1,,,,,,,,,,XL (>15m),S (3-5m),side,,Yes,,1.5,5,No,10/30/2007,09:46:13am,37.99901057,-121.5096158,100cpw,,Curlyleaf,1,,,,,,,,
349,Curlyleaf,0.5,Watermilfoil,0.3,,,,,,,,0.3,,XL (>15m),S (3-5m),,,Yes,,,2,Yes,10/31/2007,08:45:47am,38.04587236,-121.3773162,CPW50ALG40MIL10,,Curlyleaf,0.5,Watermilfoil,0.1,Algae,0.4,,,,
350,Curlyleaf,0.5,Watermilfoil,0.1,,,,,,,,0.5,,M (5-10m),S (3-5m),,,Yes,,,2.5,Yes,10/31/2007,08:49:13am,38.04611624,-121.3767361,CPW35MIL35ALG30,,Curlyleaf,0.35,Watermilfoil,0.35,Algae,0.3,,,,
352,Curlyleaf,0.5,Watermilfoil,0.1,,,,,,,,0.5,,L (10-15m),M (5-10m),,,Yes,,,2.5,Yes,10/31/2007,08:56:51am,38.04639395,-121.3749656,MIL95ALG5,,Watermilfoil,0.95,Algae,0.05,,,,,,
140,Curlyleaf,0.5,,,,,,,,,,0.3,,M (5-10m),M (5-10m),center,,Yes,,0.5,2,Yes,11/1/2007,10:53:54am,37.9995747,-121.5758291,cpw100,,Curlyleaf,1,,,,,,,,
141,Curlyleaf,0.7,,,,,,,,,,0.1,,S (3-5m),S (3-5m),center,,No,,1,3.5,Yes,11/1/2007,12:29:05pm,38.00254772,-121.5769525,cpw100,,Curlyleaf,1,,,,,,,,
157,Curlyleaf,0.7,,,,,,,,,,0.1,,L (10-15m),S (3-5m),center,,No,,1,3.25,Yes,10/30/2007,11:02:46am,37.99952351,-121.6241878,cpw100,,Curlyleaf,1,,,,,,,,
158,Curlyleaf,0.9,,,,,,,,,,,,M (5-10m),M (5-10m),,,No,,1,2.5,Yes,10/30/2007,01:12:25pm,38.01317542,-121.6138763,cpw100,,Curlyleaf,1,,,,,,,,
159,Curlyleaf,0.9,,,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,0.5,6,No,10/30/2007,01:30:20pm,38.01732185,-121.6062906,cpw100,,Curlyleaf,1,,,,,,,,
333,Curlyleaf,0.9,,,,,,,,,,,,S (3-5m),S (3-5m),center,,No,,1.5,8.5,Yes,11/1/2007,01:09:40pm,38.02625084,-121.4726549,cpw100,,Curlyleaf,1,,,,,,,,
424,Curlyleaf,0.9,,,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,1,5,Yes,11/1/2007,01:08:35pm,38.10174966,-121.5795324,cpw100,,Curlyleaf,1,,,,,,,,
427,Curlyleaf,0.9,,,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,2,3.25,Yes,11/1/2007,01:39:42pm,38.096946,-121.5675774,cpw100,,Curlyleaf,1,,,,,,,,
434,Curlyleaf,0.7,,,,,,,,,,0.1,,L (10-15m),S (3-5m),center,,No,,0,3,Yes,11/1/2007,03:08:50pm,38.1099831,-121.5777602,cpw70 alg30,,Curlyleaf,0.7,Algae,0.3,,,,,,
437,Curlyleaf,0.7,,,,,,,,,,0.1,,L (10-15m),S (3-5m),center,,No,,1,5.25,Yes,11/1/2007,04:09:18pm,38.0686263,-121.5620018,cpw100,,Curlyleaf,1,,,,,,,,
354,Egeria,0.5,Algae,0.3,Watermilfoil,0.1,,,,,,0.3,,M (5-10m),S (3-5m),,,Yes,,,2,Yes,10/31/2007,09:03:35am,38.04601898,-121.3743849,EGD80ALG15MIL5,,Egeria,0.8,Algae,0.15,Watermilfoil,0.05,,,,
472,Egeria,0.5,Algae,0.1,Azolla,0.1,,,,,,,,L (10-15m),L (10-15m),center,,No,,1,7,No,10/29/2007,02:42:34pm,38.08344534,-121.5579951,100 eg,,Egeria,1,,,,,,,,
399,Egeria,0.9,Algae,0.1,Cabomba,0.1,,,,,,,,XL (>15m),M (5-10m),,,No,,1,8.5,No,10/31/2007,02:09:16pm,38.08208627,-121.4702969,EGD85CAB10ALG5,,Egeria,0.85,Cabomba,0.1,Algae,0.05,,,,
403,Egeria,0.5,Algae,0.3,Cabomba,0.3,,,,,,,,XL (>15m),M (5-10m),,,No,,1,11,No,10/31/2007,02:24:11pm,38.08528345,-121.4746122,EGD75ALG25,,Egeria,0.75,Algae,0.2,,,,,,
408,Egeria,0.7,Algae,0.1,Cabomba,0.1,,,,,,,,XL (>15m),L (10-15m),,,No,,0,10.5,No,10/31/2007,02:47:13pm,38.08889902,-121.4803008,EGD60ALG40,,Egeria,0.6,Algae,0.4,,,,,,
567,Egeria,0.5,Algae,0.3,Cabomba,0.1,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,2,Yes,11/1/2007,11:03:31am,38.10816371,-121.6054802,70egd cab30,,Egeria,0.7,Cabomba,0.3,,,,,,
578,Egeria,0.5,Algae,0.3,Cabomba,0.1,,,,,,,,XL (>15m),XL (>15m),center,,No,,2,,No,11/1/2007,01:55:56pm,38.10123546,-121.5627892,egd70 cab15 alg15,,Egeria,0.7,Cabomba,0.15,Algae,0.15,,,,
592,Egeria,0.7,Algae,0.1,Cabomba,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,1,0.5,No,10/29/2007,08:28:08am,38.00307931,-121.3997195,95 eg 5 cab,,Egeria,0.95,Cabomba,0.05,,,,,,
617,Egeria,0.5,Algae,0.5,Cabomba,0.1,,,,,,,,L (10-15m),M (5-10m),center,,No,,1,11,No,10/30/2007,10:45:41am,38.0526468,-121.4636697,50 eg 50 alg,,Egeria,0.5,Algae,0.5,,,,,,
618,Egeria,0.5,Algae,0.3,Cabomba,0.1,,,,,,,,M (5-10m),S (3-5m),center,,No,,3,7.75,No,10/30/2007,10:48:50am,38.0523542,-121.4641225,100 eg,,Egeria,1,,,,,,,,
71,Egeria,0.7,Algae,0.1,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,3,5.75,No,10/29/2007,02:49:40pm,38.03116388,-121.6725312,coo60 egd40,,Coontail,0.6,Egeria,0.4,,,,,,
163,Egeria,0.9,Algae,0.1,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,1,6,No,10/31/2007,01:43:52pm,38.06005851,-121.6477261,EGD95COO5,,Egeria,0.95,Coontail,0.05,,,,,,
190,Egeria,0.9,Algae,0.1,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,4.5,Yes,11/1/2007,11:05:56am,38.03565352,-121.5281822,EGD95COO5,,Egeria,0.95,Coontail,0.05,,,,,,
194,Egeria,0.9,Algae,0.1,Coontail,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,0.25,3.75,Yes,11/1/2007,11:48:34am,38.0201589,-121.5201891,COO60EGD40,,Coontail,0.6,Egeria,0.4,,,,,,
195,Egeria,0.9,Algae,0.5,Coontail,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,0.5,3.5,Yes,11/1/2007,11:51:33am,38.0176012,-121.5201117,EGD90ALG10,,Egeria,0.9,Algae,0.1,,,,,,
344,Egeria,0.9,Algae,0.3,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),,,Yes,,,1.5,Yes,10/31/2007,08:23:49am,38.04476719,-121.3844644,EGD50COO50,,Egeria,0.5,Coontail,0.5,,,,,,
386,Egeria,0.9,Algae,0.1,Coontail,0.1,,,,,,,,XL (>15m),S (3-5m),,,No,,1,5,No,10/31/2007,11:28:40am,38.04514232,-121.3962763,EGD85COO5ALG10,,Egeria,0.85,Coontail,0.05,Algae,0.1,,,,
553,Egeria,0.5,Algae,0.5,Coontail,0.1,,,,,,,,M (5-10m),M (5-10m),center,,No,,0,3,Yes,11/1/2007,09:17:48am,38.11250598,-121.6159352,coo20 egd55 alg25,,Coontail,0.2,Egeria,0.55,Algae,0.25,,,,
557,Egeria,0.7,Algae,0.1,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,1,6.5,No,11/1/2007,09:41:40am,38.11648968,-121.6246565,egd90 coo10,,Egeria,0.9,Coontail,0.1,,,,,,
559,Egeria,0.3,Algae,0.5,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,2,6,Yes,11/1/2007,09:49:07am,38.11665311,-121.6275278,egd85 alg10 coo5,,Egeria,0.85,Algae,0.1,Coontail,0.05,,,,
251,Egeria,0.9,Algae,0.7,Curlyleaf,0.1,,,,,,,,XL (>15m),XL (>15m),center,,No,,0,2,Yes,10/29/2007,11:12:44am,38.01687424,-121.7371202,EGD85CPW5ALG10,,Egeria,0.85,Curlyleaf,0.05,Algae,0.1,,,,
345,Egeria,0.5,Algae,0.3,Curlyleaf,0.1,,,,,,0.5,,M (5-10m),S (3-5m),,,Yes,,,1,Yes,10/31/2007,08:28:49am,38.04525713,-121.383374,EGD80CPW15ALG5,,Egeria,0.8,Curlyleaf,0.15,Algae,0.05,,,,
253,Egeria,0.9,Algae,0.1,Elodea,0.1,Coontail,0.1,,,,,,XL (>15m),L (10-15m),center,,Yes,,0,1.25,Yes,10/29/2007,11:30:34am,38.01919391,-121.7360806,EGD95ELO3COO2,,Egeria,0.95,Elodea,0.03,Coontail,0.02,,,,
411,Egeria,0.7,Algae,0.3,Watermilfoil,0.3,,,,,,,,S (3-5m),S (3-5m),,,No,,1,10.5,No,10/31/2007,02:59:57pm,38.09142331,-121.4816896,EGD40MIL40ALG10,,Egeria,0.4,Watermilfoil,0.4,Algae,0.2,,,,
471,Egeria,0.7,Algae,0.1,Watermilfoil,0.1,,,,,,,,L (10-15m),L (10-15m),center,,No,,2,4,Yes,10/29/2007,02:32:01pm,38.08605191,-121.5572699,100 eg,,Egeria,1,,,,,,,,
543,Egeria,0.9,Algae,0.7,Watermilfoil,0.1,,,,,,,,M (5-10m),S (3-5m),side,,No,,0.75,3.5,Yes,10/30/2007,02:33:12pm,38.00617837,-121.5123335,100,,Egeria,1,,,,,,,,
544,Egeria,0.9,Algae,0.9,Watermilfoil,0.1,,,,,,,,L (10-15m),S (3-5m),center,,Yes,,,,No,10/30/2007,02:51:33pm,38.03200768,-121.4971791,100eg,,Egeria,1,,,,,,,,
546,Egeria,0.9,Algae,0.7,Watermilfoil,0.1,,,,,,,,M (5-10m),M (5-10m),center,,No,,0.5,3,Yes,10/30/2007,03:23:08pm,38.0255085,-121.4810418,100eg savalg90,,Egeria,1,Algae,0.9,,,,,,
640,Egeria,0.7,Algae,0.5,Watermilfoil,0.1,,,,,,,,M (5-10m),M (5-10m),center,,No,,0.25,1.75,Yes,10/31/2007,09:01:27am,38.08483798,-121.4163207,no rake photo,,,,,,,,,,,
651,Egeria,0.9,Algae,0.5,Watermilfoil,0.3,,,,,,,,XL (>15m),M (5-10m),center,,No,,0.5,3,Yes,10/31/2007,02:09:58pm,38.09799096,-121.4940624,no rake photo,,,,,,,,,,,
652,Egeria,0.7,Algae,0.5,Watermilfoil,0.3,,,,,,,,XL (>15m),M (5-10m),center,,No,,1,4.5,No,10/31/2007,02:16:41pm,38.10019385,-121.4892927,,,Egeria,0.8,Algae,0.2,,,,,,
70,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,1,3.5,Yes,10/29/2007,02:33:58pm,38.02846798,-121.6684571,egd100,,Egeria,1,,,,,,,,
